number,E,n,K,YS,Pmax,Stiffness2,Slope1,Slope2,Slope3,Slope4,Slope5,30um,60um,90um,120um,150um
2090,214,0.485,399,542,0.028766,136974.1176,3565.547122,3247.431335,2675.063553,2136.076783,1918.104034,103.1186963,206.3085444,295.4220565,367.1461678,426.7968037
2091,174,0.39,1375,287,0.011198,102054.1176,3970.131573,4079.678984,3772.857695,3347.031609,3099.564627,105.8276446,227.9874296,346.4446966,453.1688434,549.0501844
2092,79,0.468,709,172,0.0107659,47317.64706,1947.789829,2020.398753,1889.350317,1690.463005,1559.555299,51.68488989,111.8866351,170.8722414,224.5692653,272.9798177
2093,117,0.292,1200,522,0.0135577,70142.35294,4966.947822,5084.853896,4640.337848,4007.767926,3561.512376,131.1236855,283.7747268,430.590698,560.314459,672.9199173
2094,146,0.437,396,355,0.024544,92122.35294,2598.165618,2441.700901,2070.485055,1666.865535,1413.189794,73.88143207,150.244242,218.2359748,274.1493085,319.7473447
2095,62,0.483,1630,504,0.0065414,35662.35294,3975.793304,4390.237581,4291.628108,4004.052405,3851.597989,98.9793324,226.1575394,357.2630497,481.7655636,598.8574069
2096,180,0.118,1415,466,0.0206408,111503.5294,7033.541356,6877.379025,5928.240887,4847.22863,4295.443941,189.778094,401.2507164,594.4910774,755.6264284,890.6170709
2097,92,0.218,304,596,0.0251422,58531.76471,3649.75566,3491.325755,2935.863615,2338.195463,2053.147524,99.61498114,208.1673157,305.1242041,383.8970725,448.5421339
2098,203,0.006,704,440,0.0367694,133870.9677,5669.710126,4994.423565,3897.383685,2936.844668,2671.060696,163.2821803,324.9963867,458.7300611,560.2044165,641.8882916
2099,149,0.395,1385,392,0.0117276,87228.82353,4376.276661,4506.552639,4159.563609,3676.453646,3398.366826,116.1936868,251.0557189,381.814195,499.2683261,604.4516453
2100,144,0.03,400,434,0.0351811,94000,4030.977239,3577.351094,2809.302336,2137.460631,1972.455647,115.4555477,230.8798163,326.9523872,400.4000269,460.2683922
2101,89,0.296,1018,408,0.0125588,53217.64706,3974.53751,4104.686551,3777.568554,3291.149149,2943.393963,104.1719586,226.8759442,345.8804813,451.9370433,544.7360723
2102,77,0.093,1620,406,0.0113446,45242.35294,6162.267663,6563.08717,6170.584483,5428.123124,4779.066612,155.2644879,348.6823203,541.1164962,715.4178026,867.737932
2103,65,0.181,733,485,0.014457,39201.76471,3912.269724,4046.914735,3707.075507,3166.907252,2700.565184,101.7214566,222.638128,339.7914982,443.0593681,530.544195
2104,140,0.227,1168,222,0.0143862,84578.82353,4182.60021,4200.791927,3763.975135,3223.130552,2929.238892,112.1262243,239.4533535,359.6236548,464.2515838,555.4810173
2105,150,0.467,1241,453,0.0130835,89501.17647,4171.086709,4258.182012,3912.620081,3445.275522,3167.022942,111.5867915,239.4960587,362.7511399,473.0354372,571.3585909
2106,131,0.432,1529,416,0.0101746,76878.23529,4415.143282,4616.5155,4326.57137,3875.7545,3594.508499,115.7832339,252.899461,387.8610004,510.8850159,622.1019792
2107,139,0.21,1214,567,0.0164527,84356.47059,5832.372119,5861.215123,5227.370205,4406.31577,3873.530223,155.2533226,332.9081991,500.2993508,644.6783163,767.560986
2108,211,0.392,964,547,0.019134,126527.0588,4674.636314,4552.078653,3993.915527,3337.573691,2920.479904,129.2112333,269.122755,397.9798979,507.7758995,600.6267998
2109,155,0.24,811,279,0.0187768,96423.52941,3606.443829,3506.318138,3060.184315,2541.535082,2223.863162,99.26751844,207.1658341,306.1865253,390.0517389,460.6884033
2110,93,0.288,554,355,0.0188279,57872.94118,3015.730844,2967.810531,2602.133208,2155.247898,1863.703626,81.97326824,172.8164677,256.86433,328.1323803,387.7326142
2111,111,0.021,996,323,0.0250595,70112.94118,5632.061437,5468.610749,4619.377042,3677.95342,3237.932988,150.7686807,319.7352124,472.0274954,595.9759357,697.7187325
2112,173,0.182,500,227,0.0258172,109832.9412,2832.289662,2611.553729,2163.324612,1736.63435,1580.514987,80.79245492,163.3301288,235.2107468,293.3449941,342.1145169
2113,96,0.16,365,422,0.0260562,60894.11765,3227.130917,3046.66543,2545.452248,2000.606386,1689.242858,89.36513739,184.6203456,268.9575863,336.9111537,391.3287929
2114,125,0.014,1264,527,0.022946,77738.82353,7394.437902,7345.567447,6364.466332,5106.506668,4227.060566,195.3046619,419.5545339,626.7164021,798.6539283,936.8919378
2115,60,0.164,717,291,0.0146329,36259.41176,3244.772991,3332.03431,3025.47084,2584.967887,2270.410759,84.79480438,184.7563325,280.7786151,364.9451881,437.1361467
2116,99,0.255,907,162,0.012723,59362.35294,3008.229567,3059.864531,2779.999263,2408.9156,2186.895384,80.12702932,172.2775437,260.4038989,338.1653155,406.4294693
2117,168,0.162,652,420,0.0257018,106797.6471,4274.577757,3995.316403,3337.48436,2654.12313,2298.27422,119.9707637,245.4069047,355.904041,445.4006745,518.4265521
2118,72,0.268,1541,364,0.00807345,41908.23529,4547.860892,4902.254157,4670.844476,4221.757233,3923.117813,114.6351597,258.3115495,402.9123796,536.3854425,657.722292
2119,225,0.208,1447,430,0.0180804,136277.6471,6256.879971,6130.610081,5360.565454,4445.9998,3886.166829,170.5752686,358.6211234,531.9741261,678.8098404,802.281441
2120,118,0.062,1054,385,0.0221509,72775.88235,5727.595153,5611.996123,4827.412614,3911.010634,3399.956187,153.2043086,325.6420965,483.2342312,613.9686687,721.9483446
2121,158,0.067,1580,564,0.0204475,98560,8243.247724,8221.564643,7188.977905,5814.717369,4768.012894,218.7937959,469.1297779,701.9786379,897.0517142,1054.137241
2122,78,0.126,796,184,0.0174905,47547.64706,3419.935465,3416.928437,3026.624563,2518.915124,2163.691401,91.08794055,194.9465053,292.2306784,375.3699235,444.8904431
2123,171,0.454,1648,160,0.00678959,100764.7059,3333.517856,3567.897805,3427.13499,3161.639106,3021.819846,86.55233894,191.3244429,296.8747796,395.7052116,487.8298921
2124,172,0.355,1321,242,0.0112586,100880,3843.902293,3941.759236,3637.138346,3211.174912,2945.004224,102.6734432,220.8159799,335.1542191,437.8308552,529.4226412
2125,110,0.083,466,592,0.0268153,69731.76471,4541.545811,4308.33071,3580.60199,2801.025762,2412.268135,124.1467576,258.6845221,377.701464,473.0021664,549.6711958
2126,210,0.314,1207,564,0.0176336,131160,5520.353544,5438.612948,4804.037161,4034.521872,3547.962767,150.8855621,317.174517,471.673987,604.0673516,716.5748611
2127,206,0.288,1226,358,0.0159061,127708.2353,4741.083053,4690.047957,4165.914192,3552.413237,3233.276575,129.0647768,272.194153,405.7366676,521.2553326,621.8251048
